# X(km) Y(km) Z(km) Density(kg/m3)
-7.166667 49.047619 6.000000 0.048297
-7.166667 49.047619 8.000000 0.070135
-7.166667 49.047619 10.000000 0.092967
-7.166667 49.047619 12.000000 0.115152
-7.166667 52.000000 0.000000 0.000344
-7.166667 52.000000 2.000000 0.014883
-7.166667 52.000000 4.000000 0.030917
-7.166667 52.000000 6.000000 0.048554
-7.166667 52.000000 8.000000 0.067476
-7.166667 52.000000 10.000000 0.086995
-7.166667 52.000000 12.000000 0.105990
-4.333333 -10.000000 0.000000 0.000354
-4.333333 -10.000000 2.000000 0.016606
-4.333333 -10.000000 4.000000 0.033045
-4.333333 -10.000000 6.000000 0.049566
-4.333333 -10.000000 8.000000 0.066548
-4.333333 -10.000000 10.000000 0.084089
-4.333333 -10.000000 12.000000 0.101517
-4.333333 -7.047619 0.000000 0.000356
-4.333333 -7.047619 2.000000 0.019297
-4.333333 -7.047619 4.000000 0.036452
-4.333333 -7.047619 6.000000 0.052789
-4.333333 -7.047619 8.000000 0.070419
-4.333333 -7.047619 10.000000 0.089886
-4.333333 -7.047619 12.000000 0.110018
-4.333333 -4.095238 0.000000 0.000374
-4.333333 -4.095238 2.000000 0.029108
-4.333333 -4.095238 4.000000 0.043498
-4.333333 -4.095238 6.000000 0.054549
-4.333333 -4.095238 8.000000 0.071365
-4.333333 -4.095238 10.000000 0.093679
-4.333333 -4.095238 12.000000 0.118029
-4.333333 -1.142857 0.000000 0.000335
-4.333333 -1.142857 2.000000 0.045546
-4.333333 -1.142857 4.000000 0.041132
-4.333333 -1.142857 6.000000 0.043431
-4.333333 -1.142857 8.000000 0.063939
-4.333333 -1.142857 10.000000 0.093753
-4.333333 -1.142857 12.000000 0.125405
-4.333333 1.809524 0.000000 -0.000743
-4.333333 1.809524 2.000000 -0.035961
-4.333333 1.809524 4.000000 -0.024273
-4.333333 1.809524 6.000000 0.008301
-4.333333 1.809524 8.000000 0.049459
-4.333333 1.809524 10.000000 0.093092
-4.333333 1.809524 12.000000 0.134597
-4.333333 4.761905 0.000000 -0.000489
-4.333333 4.761905 2.000000 -0.013199
-4.333333 4.761905 4.000000 -0.024060
-4.333333 4.761905 6.000000 0.001325
-4.333333 4.761905 8.000000 0.047621
-4.333333 4.761905 10.000000 0.099935
-4.333333 4.761905 12.000000 0.149578
-4.333333 7.714286 0.000000 -0.000789
-4.333333 7.714286 2.000000 -0.029922
-4.333333 7.714286 4.000000 -0.030541
-4.333333 7.714286 6.000000 0.002080
-4.333333 7.714286 8.000000 0.055456
-4.333333 7.714286 10.000000 0.115086
-4.333333 7.714286 12.000000 0.171305
-4.333333 10.666667 0.000000 -0.000609
-4.333333 10.666667 2.000000 -0.018362
-4.333333 10.666667 4.000000 -0.026793
-4.333333 10.666667 6.000000 0.009333
-4.333333 10.666667 8.000000 0.069763
-4.333333 10.666667 10.000000 0.136102
-4.333333 10.666667 12.000000 0.197885
-4.333333 13.619048 0.000000 -0.001089
-4.333333 13.619048 2.000000 -0.047673
-4.333333 13.619048 4.000000 -0.035995
-4.333333 13.619048 6.000000 0.015916
-4.333333 13.619048 8.000000 0.085563
-4.333333 13.619048 10.000000 0.158617
-4.333333 13.619048 12.000000 0.225507
-4.333333 16.571429 0.000000 -0.001289
-4.333333 16.571429 2.000000 -0.063233
-4.333333 16.571429 4.000000 -0.050531
-4.333333 16.571429 6.000000 0.014221
-4.333333 16.571429 8.000000 0.095854
-4.333333 16.571429 10.000000 0.177361
-4.333333 16.571429 12.000000 0.249650
-4.333333 19.523810 0.000000 -0.001217
-4.333333 19.523810 2.000000 -0.064185
-4.333333 19.523810 4.000000 -0.055457
-4.333333 19.523810 6.000000 0.014583
-4.333333 19.523810 8.000000 0.103800
-4.333333 19.523810 10.000000 0.191267
-4.333333 19.523810 12.000000 0.267250
-4.333333 22.476190 0.000000 -0.001605
-4.333333 22.476190 2.000000 -0.088457
-4.333333 22.476190 4.000000 -0.064376
-4.333333 22.476190 6.000000 0.018295
-4.333333 22.476190 8.000000 0.111490
-4.333333 22.476190 10.000000 0.199810
-4.333333 22.476190 12.000000 0.275957
-4.333333 25.428571 0.000000 -0.000891
-4.333333 25.428571 2.000000 -0.020224
-4.333333 25.428571 4.000000 -0.007478
-4.333333 25.428571 6.000000 0.045046
-4.333333 25.428571 8.000000 0.120681
-4.333333 25.428571 10.000000 0.200950
-4.333333 25.428571 12.000000 0.273489
-4.333333 28.380952 0.000000 -0.001136
-4.333333 28.380952 2.000000 -0.034371
-4.333333 28.380952 4.000000 -0.012458
-4.333333 28.380952 6.000000 0.040505
-4.333333 28.380952 8.000000 0.112188
-4.333333 28.380952 10.000000 0.188611
-4.333333 28.380952 12.000000 0.258431
-4.333333 31.333333 0.000000 -0.001320
-4.333333 31.333333 2.000000 -0.065834
-4.333333 31.333333 4.000000 -0.056763
-4.333333 31.333333 6.000000 0.008511
-4.333333 31.333333 8.000000 0.088297
-4.333333 31.333333 10.000000 0.166095
-4.333333 31.333333 12.000000 0.234523
-4.333333 34.285714 0.000000 -0.001265
-4.333333 34.285714 2.000000 -0.067188
-4.333333 34.285714 4.000000 -0.060516
-4.333333 34.285714 6.000000 -0.000091
-4.333333 34.285714 8.000000 0.074157
-4.333333 34.285714 10.000000 0.146196
-4.333333 34.285714 12.000000 0.209577
-4.333333 37.238095 0.000000 -0.000851
-4.333333 37.238095 2.000000 -0.028019
-4.333333 37.238095 4.000000 -0.020071
-4.333333 37.238095 6.000000 0.019528
-4.333333 37.238095 8.000000 0.075212
-4.333333 37.238095 10.000000 0.133939
-4.333333 37.238095 12.000000 0.188173
-4.333333 40.190476 0.000000 -0.000652
-4.333333 40.190476 2.000000 -0.023326
-4.333333 40.190476 4.000000 -0.006752
-4.333333 40.190476 6.000000 0.030345
-4.333333 40.190476 8.000000 0.076307
-4.333333 40.190476 10.000000 0.124440
-4.333333 40.190476 12.000000 0.169853
-4.333333 43.142857 0.000000 -0.000757
-4.333333 43.142857 2.000000 -0.042112
-4.333333 43.142857 4.000000 -0.017770
-4.333333 43.142857 6.000000 0.027471
-4.333333 43.142857 8.000000 0.072390
-4.333333 43.142857 10.000000 0.114726
-4.333333 43.142857 12.000000 0.153506
-4.333333 46.095238 0.000000 -0.000236
-4.333333 46.095238 2.000000 -0.011414
-4.333333 46.095238 4.000000 0.003592
-4.333333 46.095238 6.000000 0.035495
-4.333333 46.095238 8.000000 0.071500
-4.333333 46.095238 10.000000 0.106788
-4.333333 46.095238 12.000000 0.139410
-4.333333 49.047619 0.000000 0.000176
-4.333333 49.047619 2.000000 0.007028
-4.333333 49.047619 4.000000 0.022250
-4.333333 49.047619 6.000000 0.045460
-4.333333 49.047619 8.000000 0.072615
-4.333333 49.047619 10.000000 0.100664
-4.333333 49.047619 12.000000 0.127432
-4.333333 52.000000 0.000000 0.000329
-4.333333 52.000000 2.000000 0.014035
-4.333333 52.000000 4.000000 0.030561
-4.333333 52.000000 6.000000 0.050211
-4.333333 52.000000 8.000000 0.072059
-4.333333 52.000000 10.000000 0.094808
-4.333333 52.000000 12.000000 0.116907
-1.500000 -10.000000 0.000000 0.000363
-1.500000 -10.000000 2.000000 0.017206
-1.500000 -10.000000 4.000000 0.034439
-1.500000 -10.000000 6.000000 0.052182
-1.500000 -10.000000 8.000000 0.070926
-1.500000 -10.000000 10.000000 0.090675
-1.500000 -10.000000 12.000000 0.110486
-1.500000 -7.047619 0.000000 0.000337
-1.500000 -7.047619 2.000000 0.020425
-1.500000 -7.047619 4.000000 0.037429
-1.500000 -7.047619 6.000000 0.054067
-1.500000 -7.047619 8.000000 0.073546
-1.500000 -7.047619 10.000000 0.096084
-1.500000 -7.047619 12.000000 0.119720
-1.500000 -4.095238 0.000000 0.000446
-1.500000 -4.095238 2.000000 0.052800
-1.500000 -4.095238 4.000000 0.052701
-1.500000 -4.095238 6.000000 0.053556
-1.500000 -4.095238 8.000000 0.070722
-1.500000 -4.095238 10.000000 0.097948
-1.500000 -4.095238 12.000000 0.128046
-1.500000 -1.142857 0.000000 0.002945
-1.500000 -1.142857 2.000000 0.374416
-1.500000 -1.142857 4.000000 0.091081
-1.500000 -1.142857 6.000000 0.028461
-1.500000 -1.142857 8.000000 0.051713
-1.500000 -1.142857 10.000000 0.093246
-1.500000 -1.142857 12.000000 0.135397
-1.500000 1.809524 0.000000 -0.007358
-1.500000 1.809524 2.000000 -0.413769
-1.500000 1.809524 4.000000 -0.214577
-1.500000 1.809524 6.000000 -0.074735
-1.500000 1.809524 8.000000 0.015987
-1.500000 1.809524 10.000000 0.087029
-1.500000 1.809524 12.000000 0.145942
-1.500000 4.761905 0.000000 0.002464
-1.500000 4.761905 2.000000 0.327498
-1.500000 4.761905 4.000000 -0.094848
-1.500000 4.761905 6.000000 -0.073823
-1.500000 4.761905 8.000000 0.011740
-1.500000 4.761905 10.000000 0.095454
-1.500000 4.761905 12.000000 0.166702
-1.500000 7.714286 0.000000 -0.004857
-1.500000 7.714286 2.000000 -0.113706
-1.500000 7.714286 4.000000 -0.181813
-1.500000 7.714286 6.000000 -0.084992
-1.500000 7.714286 8.000000 0.021966
-1.500000 7.714286 10.000000 0.118365
-1.500000 7.714286 12.000000 0.199317
-1.500000 10.666667 0.000000 0.000563
-1.500000 10.666667 2.000000 0.195169
-1.500000 10.666667 4.000000 -0.150639
