# X(km) Y(km) gz_pred(mGal)
36.160000 27.200000 8.964743
36.160000 28.680000 7.456523
36.160000 30.160000 6.105458
36.160000 31.650000 4.969930
36.160000 33.130000 4.037025
36.160000 34.610000 3.292343
36.160000 36.100000 2.700330
36.160000 37.580000 2.231616
36.160000 39.060000 1.857551
36.160000 40.540000 1.556912
36.160000 42.030000 1.312078
36.160000 43.510000 1.120207
37.640000 0.500000 0.961873
37.640000 1.980000 1.117812
37.640000 3.470000 1.312729
37.640000 4.950000 1.552060
37.640000 6.430000 1.846108
37.640000 7.920000 2.210409
37.640000 9.400000 2.661929
37.640000 10.880000 3.229063
37.640000 12.370000 3.937407
37.640000 13.850000 4.806307
37.640000 15.330000 5.849139
37.640000 16.810000 7.061549
37.640000 18.300000 8.357345
37.640000 19.780000 9.538515
37.640000 21.260000 10.368622
37.640000 22.750000 10.598729
37.640000 24.230000 10.148829
37.640000 25.710000 9.167627
37.640000 27.200000 7.923560
37.640000 28.680000 6.642346
37.640000 30.160000 5.483101
37.640000 31.650000 4.501241
37.640000 33.130000 3.683877
37.640000 34.610000 3.029472
37.640000 36.100000 2.500684
37.640000 37.580000 2.080561
37.640000 39.060000 1.742498
37.640000 40.540000 1.467839
37.640000 42.030000 1.240809
37.640000 43.510000 1.058977
39.130000 0.500000 0.907165
39.130000 1.980000 1.053571
39.130000 3.470000 1.231254
39.130000 4.950000 1.447508
39.130000 6.430000 1.710100
39.130000 7.920000 2.032675
39.130000 9.400000 2.428826
39.130000 10.880000 2.920513
39.130000 12.370000 3.529178
39.130000 13.850000 4.264944
39.130000 15.330000 5.136956
39.130000 16.810000 6.136518
39.130000 18.300000 7.192227
39.130000 19.780000 8.146039
39.130000 21.260000 8.809215
39.130000 22.750000 8.992777
39.130000 24.230000 8.633944
39.130000 25.710000 7.848571
39.130000 27.200000 6.841177
39.130000 28.680000 5.793070
39.130000 30.160000 4.831828
39.130000 31.650000 4.005178
39.130000 33.130000 3.310677
39.130000 34.610000 2.748108
39.130000 36.100000 2.288053
39.130000 37.580000 1.918817
39.130000 39.060000 1.618976
39.130000 40.540000 1.372788
39.130000 42.030000 1.167757
39.130000 43.510000 1.001739
40.610000 0.500000 0.850389
40.610000 1.980000 0.991615
40.610000 3.470000 1.148757
40.610000 4.950000 1.341180
40.610000 6.430000 1.570210
40.610000 7.920000 1.850806
40.610000 9.400000 2.193046
40.610000 10.880000 2.610702
40.610000 12.370000 3.123381
40.610000 13.850000 3.731134
40.610000 15.330000 4.440320
40.610000 16.810000 5.239814
40.610000 18.300000 6.061327
40.610000 19.780000 6.797986
40.610000 21.260000 7.302633
40.610000 22.750000 7.438831
40.610000 24.230000 7.169831
40.610000 25.710000 6.567179
40.610000 27.200000 5.788687
40.610000 28.680000 4.963837
40.610000 30.160000 4.194533
40.610000 31.650000 3.520118
40.610000 33.130000 2.941470
40.610000 34.610000 2.467927
40.610000 36.100000 2.072305
40.610000 37.580000 1.751122
40.610000 39.060000 1.489081
40.610000 40.540000 1.270192
40.610000 42.030000 1.090211
40.610000 43.510000 0.940387
42.100000 0.500000 0.796284
42.100000 1.980000 0.921072
42.100000 3.470000 1.060836
42.100000 4.950000 1.229134
42.100000 6.430000 1.428793
42.100000 7.920000 1.671290
42.100000 9.400000 1.961837
42.100000 10.880000 2.310977
42.100000 12.370000 2.731576
42.100000 13.850000 3.219272
42.100000 15.330000 3.777065
42.100000 16.810000 4.390948
42.100000 18.300000 5.011888
42.100000 19.780000 5.560343
42.100000 21.260000 5.929021
42.100000 22.750000 6.030430
42.100000 24.230000 5.832436
42.100000 25.710000 5.391929
42.100000 27.200000 4.811244
42.100000 28.680000 4.186180
42.100000 30.160000 3.587060
42.100000 31.650000 3.049284
42.100000 33.130000 2.581125
42.100000 34.610000 2.190514
42.100000 36.100000 1.860323
42.100000 37.580000 1.587724
42.100000 39.060000 1.360186
42.100000 40.540000 1.169593
42.100000 42.030000 1.011114
42.100000 43.510000 0.879205
43.590000 0.500000 0.741450
43.590000 1.980000 0.850232
43.590000 3.470000 0.973196
43.590000 4.950000 1.120356
43.590000 6.430000 1.291582
43.590000 7.920000 1.499407
43.590000 9.400000 1.741248
43.590000 10.880000 2.028518
43.590000 12.370000 2.367831
43.590000 13.850000 2.751330
43.590000 15.330000 3.180988
43.590000 16.810000 3.642311
43.590000 18.300000 4.095239
43.590000 19.780000 4.493950
43.590000 21.260000 4.747210
43.590000 22.750000 4.821220
43.590000 24.230000 4.677888
43.590000 25.710000 4.368584
